source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
3326725644206870272,100.48466684369214,9.834931769839178,3.6369144509307985,-33.38852452238071,-9.815825790190244,0.9561323,11.28041,0.78262806,16.25865,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5868.8467,4.1701,-0.2898,272.58,0.006,0.005,0.0027
3326725983507838208,100.57850194796582,9.861314744539873,0.3058152537116439,-0.7886791072938253,1.3319278459192665,0.98131293,14.263195,1.8574095,89.599365,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,5342.119,3.1181,-0.0718,2062.4878,2.2995,1.744,0.9423
3326726331401883520,100.549455256831,9.88828419032262,4.015837616824762,-5.729920036233892,-21.84746505272845,0.9801047,14.278684,1.5501194,-8.664591,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,4400.565,4.6305,0.2559,252.6624,0.3688,0.2753,0.1451
3326727533992713344,100.66743322637856,9.810838442542588,-0.010993609610998364,0.25581363615700337,-0.8137546402401716,1.0617878,15.505855,2.2895126,58.317604,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
3326727843230353152,100.65658377833921,9.83301888738607,0.2945837475277513,-0.4929781331586848,0.017132502565812828,1.0125377,13.572703,1.9652872,81.871666,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,5370.0884,2.6024,0.076,3103.2856,2.5043,1.871,1.0013
3326727946309562496,100.66140558328568,9.83991350325551,1.1693965611607016,-1.1233323998550027,-0.2920149021628471,0.94300497,14.273662,1.0502586,-18.043015,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,6101.065,4.203,-0.7973,779.8279,0.8539,0.7115,0.3886
3326727980669284864,100.68056806881341,9.854782649165333,0.09313505899623134,0.0998269246230058,-2.0229712996321125,1.1477132,10.465641,3.7665672,43.305855,"VARIABLE",0,false,false,true,true,false,false,true,,,,,,,
3326728015029021312,100.71370171777085,9.829304002488142,1.4131473829615973,-2.270076614094151,1.1532633277851383,0.8439855,11.341949,1.1111288,50.652084,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,5003.381,3.2641,-0.1874,628.144,0.1634,0.1305,0.0693
3326730862589911424,100.63383644919001,9.845621407142932,1.1814350906307252,-1.9015746539218426,-4.950054320747887,1.0589321,12.443231,0.5966368,41.64094,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,8391.923,4.2393,-0.3263,770.7898,0.9036,0.8173,0.4377
3326730866887334784,100.63364553197366,9.841332548691408,1.9696035164290149,-2.3259378706785947,-9.408682409255695,2.4420512,13.881646,0.9548435,43.589237,"NOT_AVAILABLE",1,false,false,false,false,false,true,true,5245.8022,4.4615,-0.3373,500.9988,0.0191,0.0156,0.0083
3326731176124963712,100.63849537999319,9.874042450245692,0.7828138759973092,2.042842623136113,-5.494224181827089,0.9200091,14.26127,1.1212645,19.463394,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,6589.282,4.102,-0.4139,1103.7076,1.2803,1.0715,0.5829
3326731343626247040,100.68875504508966,9.87899459170028,0.8810313122862644,1.3750326528873036,0.5717740684495993,1.1946217,12.634399,1.7373247,1.3862339,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
3326731519722316672,100.6870157761941,9.891950281311642,0.2836778847555497,-0.16036334105846645,-0.8489002448451418,6.5786557,15.033217,1.8780956,83.39638,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
3326731554082039296,100.70921688500222,9.905524788255,1.2562814033476026,5.4562838018332025,-3.3763744995169707,1.477035,14.241434,1.0718002,-25.23933,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,5892.2715,4.2087,-0.4145,763.3611,0.759,0.6272,0.3404
3326731618504991872,100.66682145267117,9.900694728351288,0.7761976485322738,-2.228848711433948,3.965867872744309,1.0858529,14.358003,1.0730476,85.599205,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,6938.227,4.1632,-0.9882,1085.8872,1.3292,1.1258,0.615
3326731652864730752,100.64687366709695,9.89983351389896,1.117717932104033,0.8737413812319053,-7.744730538108505,0.97364473,14.636433,1.1387081,3.3793557,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,5870.4775,4.2611,-0.3752,826.0725,0.8386,0.6864,0.3707
3326731657161283840,100.64725440209921,9.897537248474428,1.7842713451853378,-4.006257394980269,-0.1956120604266767,1.1204586,11.6119795,0.41879845,14.83583,"VARIABLE",0,false,false,false,true,false,true,true,7536.987,4.2956,-0.1015,560.481,0.1757,0.159,0.085
3326731657161284096,100.64455040338592,9.89988297429857,0.9802284822102751,2.8753669534783124,-5.404526866128576,1.0274109,14.696463,1.1124516,53.288406,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,5415.7524,4.2367,-1.1453,878.0208,0.5671,0.4619,0.2522
3326731691521015680,100.66023638935619,9.901796905691361,0.3248625182409182,-0.6715184740421035,-2.4510334517100305,1.0521154,14.797799,1.5865583,41.226597,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,4939.03,3.3934,-0.1725,1518.1992,1.2848,0.9848,0.5278
3326731794600616960,100.66544546204452,9.912984191851793,0.5984439628764501,-3.6218781789262797,0.004316366610518721,0.9785399,14.878122,1.1509228,74.13939,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,7091.0317,4.3006,-0.3122,1175.7898,1.5454,1.3005,0.7051
