source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
3326256874298375808,97.96090968773413,8.504646066155514,0.5806351090765165,0.025391687,1.44974125449695,0.026527615,-6.682248561594037,0.0237743,1.0011963,14.787863,1.0699024,-48.78718,7.707797,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,6040.5693,3.7226,-0.3512,2153.5876,0.8615,0.7151,0.3883
3326887787813257344,99.23772670581396,10.05496410458228,1.2337483829210127,0.026189378,2.3682513666344094,0.027073326,-11.076914973382104,0.022605767,1.1123699,14.621551,1.0681925,-48.7811,5.675168,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5670.8203,4.4002,-0.269,710.6718,0.5893,0.4837,0.2608
3324558987826838912,96.44464728981863,7.175630250504586,1.3108091568797502,0.019899199,2.733280712794477,0.0224231,-13.15449836696423,0.019471249,1.0340922,14.2595825,0.9821873,-48.775513,3.9242837,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5633.3535,4.5071,0.275,669.8386,0.3208,0.2638,0.1399
3132795496990835712,101.3942522597179,6.89518370896246,1.4023842733263339,0.012873497,2.9609898554382634,0.014488487,0.24485166866740327,0.0125448285,0.9455634,13.051093,0.67773247,-48.752357,2.9300454,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,6156.2354,4.1509,-0.5991,688.2578,0.0443,0.0381,0.0207
3355294525413048832,98.48707168514693,12.859172553489245,2.1273233624062393,0.018805483,7.52205826991135,0.02010917,-12.201719388269572,0.016466197,1.2363029,11.816592,0.8340044,-48.741932,2.9774432,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5889.3154,4.091,0.2637,447.7237,0.1641,0.1379,0.0734
3351580619951078784,102.058380200006,12.025508915628345,0.6908620677090934,0.024687745,9.996025897251926,0.026659414,-17.37705314960639,0.0230586,1.0846248,14.429876,1.2302599,-48.72653,7.0855412,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5287.718,3.6546,-0.1551,1586.5065,0.7034,0.5625,0.3016
3326542128844866432,99.47853241304176,8.740173059096458,2.666886692240167,0.017579408,10.854955638918495,0.018361947,-20.32688966361585,0.01604898,1.1084942,13.328554,0.9282522,-48.70251,3.0253153,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5477.8545,4.5431,-0.209,368.0261,0.1211,0.0999,0.0534
3324489478076478592,97.44982927105556,7.500281005606615,0.3316891858983258,0.020862024,2.5555184772203194,0.022408722,-2.0770569879323952,0.019976433,1.074077,14.217025,1.7823668,-48.68927,3.1462982,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5086.136,2.872,-0.2062,2601.2544,1.9026,1.4403,0.7748
3355422755957133312,98.85950761318713,13.410996311762355,1.668307071481337,0.021541698,-11.066209112309288,0.022329874,-6.094578992598557,0.019993464,1.0208426,13.914864,0.8476267,-48.682804,6.1644354,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,5682.1387,4.4665,-0.4097,558.2308,0.1025,0.0858,0.0462
3327871021788774656,99.07626159187078,11.169018245698645,-2.407316680119705,0.72796637,-2.2476359205903473,0.8500314,-4.581198173861333,0.6409628,28.962284,15.132417,1.1053696,-48.665718,8.63404,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
